Data Through Date,Project ID,Interconnection Date,Utility,City/Town,County,ZIP Code,Division,Substation,Circuit ID,Storage Type,Developer,Metering Method,Energy Storage System Size (kWac),Georeference
12/31/2025,SDG-64828,02/07/2024,Con Ed,Rye,Westchester,10580,CENY-W,Harrison,51U4,Battery,Tesla,NM,10,POINT (-73.68382 40.98119)
12/31/2025,PAM-2021-86262,03/01/2021,PSEGLI,West Islip,Suffolk,11795,,270,2364,Battery,TESLA,NM,10,POINT (-73.29097 40.71197)
12/31/2025,DGINT-11109,01/17/2022,O&R,WARWICK,Orange,10990,CENTRAL,Wisner,80-5-13,Battery,Other,NM,5,POINT (-74.35825 41.25848)
12/31/2025,DGINT-07954,06/05/2019,O&R,WARWICK,Orange,10990,CENTRAL,Hunt,84-3-13,Battery,SolarCity,NM,10,POINT (-74.35825 41.25848)
12/31/2025,CH-15553,07/26/2022,Central Hudson,Beacon,Dutchess,12508,Fishkill,Tioronda,8087,Battery,SunCommon,NM,5,POINT (-73.97282 41.50666)
12/31/2025,449434,11/22/2022,National Grid,Geneseo,Livingston,14454,005-Avon,SONORA WAY,36_05_438152,Battery,Danielle Nielsen (QwikSolar),NM,15.2,POINT (-77.8173 42.79366)
12/31/2025,377125,11/30/2021,National Grid,Syracuse,Onondaga,13206,011 - Syracuse,E. MALLOY 151,36_11_15153,Battery,Austin Jarvis (Green Visions Solar),NM,7.596,POINT (-76.1122 43.0726)
12/31/2025,233513,09/05/2019,National Grid,Berne,Albany,12023,030 - Albany,VOORHEESVILLE 178,36_30_17851,Battery,Lea Springstead (SunCommon),NM,5,POINT (-74.14201 42.62536)
12/31/2025,24184,11/06/2024,NYSEG,CHICHESTER,Ulster,12464,Oneonta,NYS-SHANDAKEN 501,2307901,Battery,Plug PV,NM,10,POINT (-74.29866 42.10249)
12/31/2025,20902,02/22/2023,NYSEG,KEENE,Essex,12942,Plattsburgh,NYS-NORTON 420,1503101,Battery,ADK Solar,NM,15,POINT (-73.79356 44.2567)
12/31/2025,16581,11/17/2020,NYSEG,Phelps,Ontario,14532,Geneva,NYS-PHELPS 201,4200801,Battery,Halco,NM,8,POINT (-77.06034 42.95847)
12/31/2025,PAM-2022-209105,01/09/2023,PSEGLI,HICKSVILLE,Nassau,11801,,403,2265,Battery,NY State Solar LLC,NM,13.6,POINT (-73.52743 40.76382)
12/31/2025,SDG-29404,03/26/2021,Con Ed,Hartsdale,Westchester,10530,CENY-W,Elmsford No. 2,106U2,Battery,Sunrun Inc,NM,5,POINT (-73.79618 41.0126)
12/31/2025,PAM-2025-391880,10/09/2025,PSEGLI,E HAMPTON,Suffolk,11937,,2462,1358,Battery,SUNation Solar Systems Inc.,NM,5,POINT (-72.18518 40.96375)
12/31/2025,SDG-84728,04/28/2025,Con Ed,White Plains,Westchester,10605,CENY-W,White Plains,19U3,Battery,Tesla,NM,11.5,POINT (-73.76316 41.02053)
12/31/2025,CH-16819,12/28/2022,Central Hudson,Tillson,Ulster,12486,Kingston,High Falls,3022,Battery,SunCommon,NM,5,POINT (-74.07377 41.82839)
12/31/2025,CH-11591,07/15/2019,Central Hudson,Newburgh,Orange,12550,Newburgh,East Walden,5041,Battery,Tesla Energy Operations,NM,5,POINT (-74.01023 41.49994)
12/31/2025,16599,11/09/2020,NYSEG,Rock Hill,Sullivan,12775,Liberty,NYS-ROCK HILL 223,2402623,Battery,Solar City Corp DBA Tesla,NM,11.6,POINT (-74.59596 41.6319)
12/31/2025,CH-13657,07/23/2021,Central Hudson,Boicevl,Ulster,12412,Kingston,Woodstock,3011,Battery,SunCommon,NM,5,POINT (-74.26537 42.00386)
12/31/2025,PAM-2022-204018,07/06/2022,PSEGLI,PT JEFF STA,Suffolk,11776,,193,8666,Battery,"Tesla, Inc.",NM,10,POINT (-73.05233 40.93074)
12/31/2025,PAM-2021-99654,06/14/2021,PSEGLI,LONG BCH,Nassau,11561,,1420,1554,Battery,"Sunrun, Inc.",NM,5,POINT (-73.66608 40.58939)
12/31/2025,CH-16157,01/05/2023,Central Hudson,Tannersville,Greene,12485,Catskill,Lawrenceville,2385,Battery,Tesla Energy Operations Inc.,NM,15,POINT (-74.13132 42.19638)
12/31/2025,PAM-2024-380138,12/23/2024,PSEGLI,PLAINVIEW,Nassau,11803,,586,1793,Battery,"Tesla, Inc.",NM,11.5,POINT (-73.46669 40.7764)
12/31/2025,PAM-2023-351513,10/06/2023,PSEGLI,SOUTHAMPTON,Suffolk,11968,,51,5205,Battery,SUNation Solar Systems Inc.,NM,15,POINT (-72.38492 40.88804)
12/31/2025,CH-15464,08/24/2022,Central Hudson,Hopewell Junction,Dutchess,12533,Fishkill,Shenandoah,8072,Battery,Tesla Energy Operations Inc.,NM,10,POINT (-73.80744 41.57661)
12/31/2025,CH-13421,03/19/2021,Central Hudson,Hyde Park,Dutchess,12538,Poughkeepsie,East Park,6073,Battery,"Sunrun Installation Services, Inc.",NM,5.76,POINT (-73.93499 41.7915)
12/31/2025,PAM-2025-387500,04/23/2025,PSEGLI,MEDFORD,Suffolk,11763,,3643,817,Battery,SUNation Solar Systems Inc.,NM,5,POINT (-73.00079 40.81758)
12/31/2025,PAM-2021-131317,12/07/2021,PSEGLI,SYOSSET,Nassau,11791,,403,7763,Battery,"Sunrun, Inc.",NM,5,POINT (-73.49544 40.82746)
12/31/2025,17545,12/06/2021,NYSEG,Phoenicia,Ulster,12464,Oneonta,NYS-SHANDAKEN 501,2307901,Battery,SunCommon,NM,5.8,POINT (-74.31664 42.08422)
12/31/2025,PAM-2021-156235,02/25/2022,PSEGLI,E HAMPTON,Suffolk,11937,,1557,2519,Battery,SUNation Solar Systems Inc.,NM,10,POINT (-72.18518 40.96375)
12/31/2025,578294,05/30/2024,National Grid,Cortland,Cortland,13045,012-Cortland,STARR RD 334,36_12_33454,Battery,Kathleen Cooke (My Solar Grid),NM,5,POINT (-76.17484 42.60348)
12/31/2025,PAM-2017-48098,12/20/2017,PSEGLI,Central Islip,Suffolk,11722,,2104,1066,Battery,Solar City,NM,5,POINT (-73.21209 40.80227)
12/31/2025,DGINT-14713,05/31/2024,O&R,NEW CITY,Rockland,10956,EAST,New Hempstead,45-8-13,Battery,SolarCity,NM,11.5,POINT (-74.0104 41.14829)
12/31/2025,PAM-2023-372171,03/07/2024,PSEGLI,MERRICK,Nassau,11566,,138,6573,Battery,Venture Solar,NM,7.68,POINT (-73.55445 40.66923)
12/31/2025,PAM-2023-374957,05/01/2024,PSEGLI,BALDWIN,Nassau,11510,,93,7199,Battery,"Sunrun, Inc.",NM,10,POINT (-73.60844 40.65859)
12/31/2025,DGINT-14666,07/16/2024,O&R,VALLEY COTTAGE,Rockland,10989,EAST,Congers,22-5-13,Battery,Sunrun Inc,NM,13.36,POINT (-73.96098 41.11248)
12/31/2025,PAM-2022-173130,02/22/2022,PSEGLI,MANORVILLE,Suffolk,11949,,1384,53,Battery,"Tesla, Inc.",NM,20,POINT (-72.80741 40.87339)
12/31/2025,PAM-2025-394306,12/13/2025,PSEGLI,COMMACK,Suffolk,11725,,3116,7846,Battery,Hytech Solar Inc.,NM,5,POINT (-73.29144 40.84713)
12/31/2025,16621,10/26/2020,NYSEG,Austerlitz,Columbia,12017,Mechanicville,NYS-CRARYVILLE 610,1204004,Battery,PlugPV LLC,NM,11.6,POINT (-73.43954 42.3303)
12/31/2025,DGINT-12271,12/08/2022,O&R,NEW CITY,Rockland,10956,EAST,Congers,22-2-13,Battery,SolarCity,NM,11.4,POINT (-74.0104 41.14829)
12/31/2025,DGINT-13442,04/01/2024,O&R,MIDDLETOWN,Orange,10941,WEST,East Wallkill,15-6-13,Battery,SolarCity,NM,7.6,POINT (-74.36007 41.47205)
12/31/2025,LDG-00580,07/01/2019,Con Ed,Brooklyn,Kings,11239,CENY-BK,Brownsville No. 2,Richmond Hill,Battery,EnerNOC,,2400,POINT (-73.88227 40.6484)
12/31/2025,PAM-2022-279461,01/13/2023,PSEGLI,DIX HILLS,Suffolk,11746,,112,1952,Battery,SUNation Solar Systems Inc.,NM,15,POINT (-73.3951 40.83655)
12/31/2025,CH-16368,02/17/2023,Central Hudson,Poughkeepsie,Dutchess,12603,Poughkeepsie,Manchester,6091,Battery,Infinity Solar Systems,NM,2.56,POINT (-73.89901 41.69646)
12/31/2025,PAM-2024-379895,09/30/2024,PSEGLI,AMAGANSETT,Suffolk,11930,,3978,4343,Battery,"Tesla, Inc.",NM,5,POINT (-72.1488 40.97283)
12/31/2025,PAM-2023-331572,02/01/2024,PSEGLI,STONY BROOK,Suffolk,11790,,5860,3811,Battery,"Tesla, Inc.",NM,15,POINT (-73.1395 40.91297)
12/31/2025,PAM-2022-221033,08/09/2022,PSEGLI,BAY SHORE,Suffolk,11706,,97,8800,Battery,SUNation Solar Systems Inc.,NM,5,POINT (-73.24917 40.72025)
12/31/2025,24005,06/11/2024,NYSEG,ANDES,Delaware,13731,Oneonta,NYS-ANDES 235,2306435,Battery,Intelligent Green Solutions,NM,10,POINT (-74.78601 42.18887)
12/31/2025,CH-15838,02/23/2023,Central Hudson,Montgomery,Orange,12549,Newburgh,Montgomery,5073,Battery,"Tesla Energy Operations, Inc",NM,7.6,POINT (-74.23723 41.52724)
12/31/2025,LDG-01557,08/02/2023,Con Ed,Staten Island,Richmond,10312,CENY-SI,Fresh Kills,33R35,Battery,Sunkeeper Solar,,3850,POINT (-74.17391 40.55414)
12/31/2025,PAM-2024-377951,04/29/2024,PSEGLI,FRANKLIN SQ,Nassau,11010,,2374,9351,Battery,"Sunrun, Inc.",NM,5,POINT (-73.68062 40.70797)
12/31/2025,14936,10/09/2019,NYSEG,NARROWSBURG,Sullivan,12764,Liberty,NYS-BEAVER BROOK 011,2401011,Battery,Town of Greece,NM,3.8,POINT (-75.0583 41.6077)
12/31/2025,CH-17118,09/13/2023,Central Hudson,Stone Ridge,Ulster,12484,Kingston,High Falls,3023,Battery,New York State Solar Farm,NM,10,POINT (-74.14041 41.85164)
12/31/2025,352878,06/25/2021,National Grid,Ballston Lake,Saratoga,12019,039 - Saratoga,BALLSTON 12,36_39_01251,Battery,Maura HEWISON (KASSELMAN SOLAR),NM,7.6,POINT (-73.86837 42.9083)
12/31/2025,SDG-29738,09/29/2021,Con Ed,Scarsdale,Westchester,10583,CENY-W,Harrison,17W31,Battery,"CES Danbury Solar, LLC",NM,7.6,POINT (-73.79681 40.98824)
12/31/2025,PAM-2017-46276,10/06/2017,PSEGLI,Massapequa,Nassau,11758,,118,919,Battery,Solar City,NM,5,POINT (-73.46519 40.6923)
12/31/2025,CH-21221,04/02/2025,Central Hudson,Poughkeepsie,Dutchess,12603,Poughkeepsie,Spackenkill,6046,Battery,"Tesla Energy Operations, Inc.",NM,12.6,POINT (-73.89901 41.69646)
12/31/2025,338218,02/08/2021,National Grid,Ballston Spa,Saratoga,12020,039 - Saratoga,MALTA 443,36_39_44358,Battery,Andrew Esguerra (Solar City DBA Tesla Energy),NM,10,POINT (-73.85124 43.00242)
12/31/2025,CH-14756,02/28/2022,Central Hudson,Athens,Greene,12015,Catskill,Coxsackie,1074,Battery,Tesla Energy Ops,NM,15,POINT (-73.8089 42.2601)
12/31/2025,21765,12/08/2023,NYSEG,WHITE LAKE,Sullivan,12786,Liberty,NYS-WHITE LAKE 290,2403252,Battery,Buselli Solutions,NM,8,POINT (-74.82999 41.67376)
12/31/2025,PAM-2021-160145,05/31/2022,PSEGLI,QUOGUE,Suffolk,11959,,1468,4995,Battery,"Tesla, Inc.",NM,5,POINT (-72.60917 40.81688)
12/31/2025,DGINT-15282,01/30/2025,O&R,MIDDLETOWN,Orange,10940,WEST,Otisville,41456,Battery,Tri-State Solar Services,NM,4.64,POINT (-74.42261 41.44584)
12/31/2025,486070,03/30/2023,National Grid,Schenectady,Schenectady,12308,032-Schenectady,MCCLELLAN 304,36_32_30451,Battery,Toni Haviland (PlugPV),NM,5,POINT (-73.92286 42.8259)
12/31/2025,PAM-2025-387805,05/06/2025,PSEGLI,PT WASH,Nassau,11050,,105,3158,Battery,SUNation Solar Systems Inc.,NM,5,POINT (-73.7008 40.8324)
12/31/2025,731494,12/19/2025,National Grid,Saratoga Springs,Saratoga,12866,039-Saratoga,SARATOGA 142,36_39_14203,Battery,"Kasselman Solar (Kasselman Solar, LLC)",NM,7.68,POINT (-73.78441 43.08412)
12/31/2025,PAM-2024-375745,07/08/2024,PSEGLI,COMMACK,Suffolk,11725,,237,435,Battery,"Tesla, Inc.",NM,10,POINT (-73.29144 40.84713)
12/31/2025,18122,11/30/2021,NYSEG,KATONAH,Westchester,10536,Brewster,NYS-AMAWALK 451,1105251,Battery,Arturo  Burgos,NM,9,POINT (-73.6839 41.25884)
12/31/2025,SDG-48934,03/15/2024,Con Ed,Yonkers,Westchester,10705,CENY-W,Rockview,2W18,Battery,Infinity Solar,NM,10.27,POINT (-73.89096 40.92143)
12/31/2025,CH-21791,05/08/2025,Central Hudson,Millbrook,Dutchess,12545,Poughkeepsie,Tinkertown,7025,Battery,Infinity Solar Systems,NM,11.5,POINT (-73.693 41.7863)
12/31/2025,PAM-2021-142273,12/22/2021,PSEGLI,STONY BROOK,Suffolk,11790,,193,7197,Battery,"EmPower CES, LLC",NM,10,POINT (-73.1395 40.91297)
12/31/2025,PAM-2024-378982,08/27/2024,PSEGLI,BAY SHORE,Suffolk,11706,,97,9242,Battery,"EmPower CES, LLC",NM,10,POINT (-73.24917 40.72025)
12/31/2025,DGINT-09847,12/08/2020,O&R,MONROE,Orange,10950,CENTRAL,Monroe,61-3-13,Battery,SolarCity,NM,15,POINT (-74.18712 41.32822)
12/31/2025,SDG-77865,01/23/2025,Con Ed,Peekskill,Westchester,10567,CENY-W,Buchanan,13W80,Battery,Sunrun Inc,NM,11.5,POINT (-73.92211 41.29117)
12/31/2025,26243,12/08/2025,NYSEG,Peru,Clinton,12972,Plattsburgh,NYS-PERU 426,1503201,Battery,Craig Meyerson,NM,12,POINT (-73.52801 44.57834)
12/31/2025,PAM-2021-120830,10/04/2021,PSEGLI,E WILLISTON,Nassau,11596,,730,8529,Battery,"Sunrun, Inc.",NM,10,POINT (-73.63847 40.75687)
12/31/2025,PAM-2022-294733,08/14/2023,PSEGLI,Southampton,Suffolk,11968,,51,5205,Battery,Green Hybrid Energy Solutions Inc.,NM,7,POINT (-72.38492 40.88804)
12/31/2025,PAM-2024-383600,05/06/2025,PSEGLI,ORIENT,Suffolk,11957,,1143,3034,Battery,Hytech Solar Inc.,NM,15,POINT (-72.30036 41.14311)
12/31/2025,PAM-2024-383948,05/12/2025,PSEGLI,Amagansett,Suffolk,11930,,3978,4343,Battery,"EmPower CES, LLC",NM,23,POINT (-72.1488 40.97283)
12/31/2025,PAM-2022-190371,07/18/2022,PSEGLI,WANTAGH,Nassau,11793,,993,946,Battery,"Sunrun, Inc.",NM,5,POINT (-73.50984 40.67585)
12/31/2025,PAM-2022-188656,05/15/2023,PSEGLI,WESTBURY,Nassau,11590,,181,1782,Battery,"Tesla, Inc.",NM,10,POINT (-73.58683 40.75712)
12/31/2025,DGINT-12191,11/03/2022,O&R,HILLBURN,Rockland,10931,EAST,Sloatsburg,42-2-13,Battery,SolarCity,NM,7.6,POINT (-74.16934 41.12496)
12/31/2025,PAM-2021-93924,05/18/2021,PSEGLI,Oceanside,Nassau,11572,,229,8100,Battery,sunation,NM,5,POINT (-73.64036 40.64212)
12/31/2025,DGINT-15214,01/17/2025,O&R,SLATE HILL,Orange,10973,WEST,Westtown,103-1-13,Battery,Infinity Solar,NM,5.85,POINT (-74.47967 41.39172)
